"Date_evenement";"Hopital_Clinique_Deces2020";"Maison_retraite_Deces2020";"Domicile_Deces2020";"Autre_Deces2020";"Total_Deces2020";"Hopital_Clinique_Deces2019";"Maison_retraite_Deces2019";"Domicile_Deces2019";"Autre_Deces2019";"Total_Deces2019";"Hopital_Clinique_Deces2018";"Maison_retraite_Deces2018";"Domicile_Deces2018";"Autre_Deces2018";"Total_Deces2018";"Zone";"LibelleZone"
"01/01/2020";972;227;472;229;1900;929;197;472;218;1816;1015;251;540;196;2002;"FE";"France"
"02/01/2020";1953;463;946;433;3795;1899;415;970;444;3728;2076;541;1106;390;4113;"FE";"France"
"03/01/2020";2949;706;1439;650;5744;2851;657;1418;652;5578;3159;823;1644;601;6227;"FE";"France"
"04/01/2020";3907;914;1873;874;7568;3863;869;1865;859;7456;4317;1084;2148;812;8361;"FE";"France"
"05/01/2020";4831;1127;2288;1056;9302;4877;1092;2303;1073;9345;5422;1333;2673;1003;10431;"FE";"France"
"06/01/2020";5800;1380;2827;1270;11277;5836;1318;2778;1293;11225;6528;1585;3129;1180;12422;"FE";"France"
"07/01/2020";6827;1633;3301;1503;13264;6881;1538;3262;1510;13191;7570;1833;3627;1376;14406;"FE";"France"
"08/01/2020";7858;1873;3770;1702;15203;7870;1794;3726;1738;15128;8615;2113;4175;1556;16459;"FE";"France"
"09/01/2020";8894;2115;4230;1927;17166;8874;2050;4182;1969;17075;9713;2387;4656;1740;18496;"FE";"France"
"10/01/2020";9894;2355;4705;2143;19097;9876;2275;4661;2194;19006;10764;2632;5126;1918;20440;"FE";"France"
"11/01/2020";10860;2591;5112;2394;20957;10907;2508;5086;2416;20917;11827;2902;5625;2099;22453;"FE";"France"
"12/01/2020";11787;2829;5519;2606;22741;11983;2779;5517;2647;22926;12902;3151;6076;2284;24413;"FE";"France"
"13/01/2020";12747;3036;5940;2829;24552;12979;3029;5969;2866;24843;13928;3398;6577;2469;26372;"FE";"France"
"14/01/2020";13775;3258;6396;3056;26485;13969;3294;6468;3086;26817;14924;3656;7052;2642;28274;"FE";"France"
"15/01/2020";14771;3508;6827;3270;28376;14950;3535;6959;3328;28772;15867;3908;7505;2822;30102;"FE";"France"
"16/01/2020";15755;3738;7255;3507;30255;16009;3787;7397;3553;30746;16880;4147;8001;3023;32051;"FE";"France"
"17/01/2020";16715;3969;7710;3701;32095;17029;4034;7862;3759;32684;17894;4385;8501;3231;34011;"FE";"France"
"18/01/2020";17629;4202;8112;3911;33854;18055;4249;8336;3976;34616;18941;4601;8980;3404;35926;"FE";"France"
"19/01/2020";18556;4406;8521;4096;35579;19039;4508;8771;4207;36525;19922;4863;9488;3588;37861;"FE";"France"
"20/01/2020";19492;4655;8930;4291;37368;19994;4738;9222;4402;38356;20954;5114;9927;3771;39766;"FE";"France"
"21/01/2020";20465;4861;9339;4513;39178;20957;4983;9721;4626;40287;21969;5381;10409;3952;41711;"FE";"France"
"22/01/2020";21412;5077;9757;4725;40971;22042;5225;10211;4852;42330;22968;5632;10877;4099;43576;"FE";"France"
"23/01/2020";22344;5269;10192;4954;42759;23067;5467;10735;5041;44310;23972;5874;11317;4255;45418;"FE";"France"
"24/01/2020";23290;5503;10645;5164;44602;24063;5685;11217;5255;46220;24999;6111;11725;4452;47287;"FE";"France"
"25/01/2020";24240;5729;11077;5363;46409;25140;5917;11721;5462;48240;25980;6375;12150;4639;49144;"FE";"France"
"26/01/2020";25180;5946;11489;5549;48164;26261;6178;12176;5689;50304;26943;6604;12592;4805;50944;"FE";"France"
