reg;semaine;anxiete;anxiete_inf;anxiete_sup;depression;depression_inf;depression_sup;pbsommeil;pbsommeil_inf;pbsommeil_sup;hyg4mes;hyg4mes_inf;hyg4mes_sup;dist3mes;dist3mes_inf;dist3mes_sup;nbmoy7mes;nbmoy7mes_inf;nbmoy7mes_sup;nbmoy4mesHyg;nbmoy4mesHyg_inf;nbmoy4mesHyg_sup;dist1m;dist1m_inf;dist1m_sup;portmasque;portmasque_inf;portmasque_sup;;;
11;Vague 1 : 23-25 mars;30,1;25,6;35,0;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;Vague 1 : 23-25 mars;24,3;15,7;35,6;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Vague 1 : 23-25 mars;33,0;24,1;43,3;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;Vague 1 : 23-25 mars;24,7;17,2;34,2;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Vague 1 : 23-25 mars;29,6;23,4;36,5;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;Vague 1 : 23-25 mars;29,5;23,2;36,8;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;Vague 1 : 23-25 mars;26,3;19,1;35,2;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;Vague 1 : 23-25 mars;25,0;17,5;34,5;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;Vague 1 : 23-25 mars;22,9;17,5;29,4;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;Vague 1 : 23-25 mars;22,6;17,2;29,2;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;Vague 1 : 23-25 mars;26,4;21,3;32,3;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;Vague 1 : 23-25 mars;22,7;16,8;30,1;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Vague 2 : 30 mars-1 avr;19,4;15,6;23,9;20,6;16,7;25,1;63,5;58,4;68,4;44,9;39,7;50,1;67,0;61,9;71,7;5,61;5,45;5,77;3,06;2,94;3,17;;;;16,2;12,7;20,5;;;
24;Vague 2 : 30 mars-1 avr;22,4;14,4;33,2;27,7;18,8;38,8;61,7;50,4;71,9;52,3;41,1;63,3;69,5;58,2;78,9;5,59;5,18;6,00;3,12;2,86;3,38;;;;11,9;6,3;21,5;;;
27;Vague 2 : 30 mars-1 avr;17,6;10,9;27,3;17,8;11,1;27,2;55,0;44,6;65,1;55,8;45,3;65,8;65,2;54,7;74,4;5,66;5,32;6,01;3,18;2,95;3,41;;;;21,1;13,9;30,9;;;
28;Vague 2 : 30 mars-1 avr;22,8;15,7;31,8;19,0;12,6;27,7;60,9;51,2;69,8;44,6;35,4;54,2;68,8;59,4;77,0;5,55;5,23;5,86;2,98;2,76;3,20;;;;9,3;5,0;16,6;;;
32;Vague 2 : 30 mars-1 avr;22,6;17,2;29,1;16,4;11,8;22,3;64,9;57,8;71,4;48,0;41,0;55,1;71,7;64,8;77,7;5,67;5,43;5,91;3,08;2,92;3,24;;;;12,5;8,5;18,1;;;
44;Vague 2 : 30 mars-1 avr;26,4;20,4;33,5;25,2;19,3;32,2;60,5;53,0;67,6;57,1;49,6;64,3;77,7;70,7;83,3;5,85;5,61;6,10;3,22;3,05;3,38;;;;17,0;12,1;23,5;;;
52;Vague 2 : 30 mars-1 avr;17,9;11,9;25,9;14,6;9,2;22,2;57,2;48,0;65,9;40,2;31,6;49,3;66,6;57,5;74,6;5,51;5,21;5,80;3,00;2,81;3,19;;;;14,3;8,9;22,0;;;
53;Vague 2 : 30 mars-1 avr;19,3;12,9;27,8;21,4;14,6;30,2;63,3;53,7;71,9;53,4;43,9;62,7;69,2;59,7;77,3;5,59;5,23;5,94;3,07;2,84;3,30;;;;14,0;8,6;21,9;;;
75;Vague 2 : 30 mars-1 avr;17,9;13,0;24,1;17,8;13,0;24,1;60,1;53,0;66,9;48,5;41,4;55,7;72,9;66,0;78,9;5,55;5,28;5,82;3,00;2,83;3,18;;;;15,1;10,7;20,9;;;
76;Vague 2 : 30 mars-1 avr;26,1;20,2;32,9;23,5;17,9;30,3;58,1;50,8;65,1;56,4;49,1;63,5;69,6;62,5;75,8;5,75;5,52;5,99;3,18;3,02;3,34;;;;17,2;12,4;23,4;;;
84;Vague 2 : 30 mars-1 avr;22,9;18,1;28,6;18,5;14,2;23,8;62,2;56,0;68,1;48,5;42,3;54,7;72,0;66,1;77,3;5,70;5,49;5,91;3,11;2,97;3,25;;;;13,9;10,1;18,8;;;
93;Vague 2 : 30 mars-1 avr;21,6;15,9;28,6;17,2;12,1;23,9;61,7;54,7;68,9;56,4;48,7;63,9;71,3;63,8;77,7;5,75;5,50;6,00;3,22;3,06;3,38;;;;16,6;11,6;23,2;;;
11;Vague 3 : 14-16 avr;17,8;14,0;22,2;20,3;16,4;25,0;62,1;56,8;67,1;47,1;41,8;52,4;63,7;58,4;68,7;5,45;5,27;5,63;3,01;2,88;3,13;;;;27,2;22,8;32,2;;;
24;Vague 3 : 14-16 avr;22,8;15,0;33,1;18,5;11,6;28,3;67,7;57,0;76,9;50,3;39,7;60,8;67,0;56,3;76,2;5,68;5,33;6,03;3,13;2,90;3,36;;;;21,5;14,0;31,6;;;
27;Vague 3 : 14-16 avr;17,5;11,0;26,7;18,0;11,3;27,5;61,4;51,1;70,8;45,1;35,2;55,3;66,8;56,6;75,6;5,48;5,15;5,82;2,97;2,74;3,19;;;;17,4;10,9;26,7;;;
28;Vague 3 : 14-16 avr;26,0;18,5;35,4;19,5;13,0;28,2;72,2;62,8;80,0;50,7;41,2;60,2;72,5;63,1;80,2;5,55;5,19;5,91;2,98;2,74;3,22;;;;24,8;17,4;34,1;;;
32;Vague 3 : 14-16 avr;22,8;17,4;29,3;20,0;14,9;26,3;68,5;61,6;74,7;44,4;37,5;51,5;63,9;56,8;70,4;5,38;5,13;5,64;2,96;2,80;3,13;;;;21,3;16,1;27,7;;;
44;Vague 3 : 14-16 avr;16,8;12,0;22,9;17,5;12,6;23,9;63,4;56,0;70,2;42,8;35,7;50,2;56,3;48,8;63,4;5,22;4,95;5,50;2,86;2,67;3,04;;;;20,0;14,8;26,4;;;
52;Vague 3 : 14-16 avr;17,6;11,8;25,3;13,8;8,7;21,1;65,5;56,7;73,5;41,3;32,9;50,2;66,5;57,6;74,4;5,35;5,04;5,66;2,85;2,64;3,06;;;;19,3;13,2;27,2;;;
53;Vague 3 : 14-16 avr;15,3;9,6;23,7;18,6;12,2;27,4;64,9;55,4;73,4;44,0;34,8;53,7;62,4;52,7;71,2;5,33;4,97;5,69;2,89;2,65;3,13;;;;17,0;10,9;25,4;;;
75;Vague 3 : 14-16 avr;18,1;13,3;24,1;18,4;13,6;24,4;67,6;60,8;73,8;45,8;38,9;52,8;65,8;58,9;72,1;5,50;5,26;5,73;3,03;2,88;3,18;;;;28,3;22,4;35,0;;;
76;Vague 3 : 14-16 avr;17,0;12,0;23,5;18,9;13,5;25,8;57,1;49,5;64,4;54,7;47,1;62,1;72,6;65,3;78,9;5,71;5,46;5,96;3,12;2,95;3,29;;;;28,6;22,2;35,9;;;
84;Vague 3 : 14-16 avr;15,8;11,8;20,8;11,9;8,4;16,5;59,5;53,4;65,4;41,4;35,5;47,5;67,1;61,1;72,6;5,46;5,26;5,65;2,90;2,76;3,04;;;;24,0;19,2;29,7;;;
93;Vague 3 : 14-16 avr;15,2;10,4;21,7;15,1;10,3;21,5;62,6;54,9;69,8;55,9;48,1;63,4;62,4;54,6;69,6;5,68;5,43;5,93;3,22;3,05;3,38;;;;25,3;19,2;32,6;;;
11;Vague 4 : 20-22 avr;16,7;13,1;21,0;19,2;15,4;23,6;64,6;64,6;69,4;44,0;38,9;49,2;62,6;57,4;67,5;5,28;5,08;5,48;2,86;2,73;2,99;;;;30,9;26,3;35,9;;;
24;Vague 4 : 20-22 avr;16,1;9,6;25,8;23,5;15,6;33,8;71,4;71,4;80,1;47,3;36,8;58,0;69,1;58,4;78,1;5,67;5,34;6,01;3,10;2,87;3,33;;;;25,7;17,5;36,1;;;
27;Vague 4 : 20-22 avr;18,9;12,2;28,0;21,8;14,5;31,2;65,3;65,3;74,2;46,0;36,2;56,0;62,1;51,9;71,3;5,42;5,03;5,80;2,99;2,74;3,23;;;;19,7;12,8;28,9;;;
28;Vague 4 : 20-22 avr;14,9;9,1;23,4;18,4;11,8;27,4;66,7;66,7;75,2;45,3;35,8;55,2;67,4;57,5;75,9;5,54;5,20;5,88;3,04;2,82;3,26;;;;29,0;21,0;38,5;;;
32;Vague 4 : 20-22 avr;24,9;19,2;31,7;18,8;13,8;15,0;72,0;72,0;78,0;50,1;42,9;57,3;62,7;55,4;69,4;5,43;5,15;5,70;3,03;2,86;3,21;;;;25,8;20,0;32,7;;;
44;Vague 4 : 20-22 avr;24,9;18,8;32,1;25,8;19,6;33,0;64,4;64,4;71,3;49,4;41,8;57,0;59,2;51,5;66,4;5,30;5,01;5,60;2,96;2,77;3,15;;;;26,2;20,1;33,5;;;
52;Vague 4 : 20-22 avr;20,5;14,1;28,8;24,2;17,2;32,9;65,2;65,2;73,4;47,6;38,6;56,7;61,7;52,4;70,2;5,39;5,03;5,75;3,05;2,84;3,27;;;;26,8;19,6;35,6;;;
53;Vague 4 : 20-22 avr;15,3;9,5;23,7;22,4;15,3;31,6;71,4;71,4;79,1;49,0;39,6;58,5;56,5;46,8;65,6;5,44;5,10;5,77;3,09;2,87;3,30;;;;21,5;14,8;30,2;;;
75;Vague 4 : 20-22 avr;17,2;12,3;23,6;14,5;10,0;20,5;60,8;60,8;67,8;40,7;33,6;48,2;57,7;50,2;64,8;5,35;5,11;5,59;2,95;2,79;3,11;;;;22,9;17,3;29,8;;;
76;Vague 4 : 20-22 avr;19,3;14,2;25,7;18,3;13,4;24,5;67,1;67,1;73,4;46,6;39,7;53,7;70,6;63,8;76,6;5,46;5,21;5,71;2,96;2,78;3,13;;;;30,1;24,0;36,9;;;
84;Vague 4 : 20-22 avr;20,5;15,9;26,0;21,9;17,2;27,5;71,7;71,7;76,9;45,6;39,5;51,8;64,3;58,1;70,0;5,48;5,27;5,69;3,03;2,90;3,17;;;;28,1;22,9;34,0;;;
93;Vague 4 : 20-22 avr;14,6;9,8;21,2;21,6;15,8;28,9;64,7;64,8;72,0;44,0;36,3;52,0;65,0;57,1;72,2;5,43;5,14;5,71;2,95;2,76;3,14;;;;34,6;27,4;42,6;;;
11;Vague 5 : 28-30 avr;21,5;17,4;26,1;21,3;17,3;25,9;69,3;64,3;73,9;44,5;39,4;49,7;60,6;55,4;65,6;5,33;5,15;5,51;2,92;2,79;3,05;;;;39,8;34,8;45,0;;;
24;Vague 5 : 28-30 avr;18,3;11,5;27,9;12,8;7,2;21,8;67,5;56,9;76,6;48,1;37,8;58,6;69,0;58,4;78,0;5,58;5,19;5,96;3,06;2,81;3,31;;;;33,9;24,7;44,4;;;
27;Vague 5 : 28-30 avr;15,9;9,9;24,6;22,3;15,0;32,0;70,0;60,1;78,4;45,4;35,7;55,4;60,3;50,0;69,7;5,37;5,02;5,72;3,01;2,80;3,23;;;;31,6;23,1;41,6;;;
28;Vague 5 : 28-30 avr;28,3;20,4;37,8;25,8;18,2;35,2;74,8;65,8;82,1;36,4;27,8;46,0;61,1;51,5;70,0;5,07;4,71;5,43;2,71;2,47;2,95;;;;28,9;21,0;38,3;;;
32;Vague 5 : 28-30 avr;16,3;11,7;22,2;15,6;11,0;21,6;68,0;60,9;74,3;43,0;36,1;50,2;52,5;45,3;59,6;5,06;4,77;5,36;2,82;2,63;3,02;;;;23,9;18,4;30,4;;;
44;Vague 5 : 28-30 avr;19,8;14,1;27,2;23,5;17,4;30,9;65,4;57,4;72,6;42,3;34,7;50,4;60,2;52,2;67,8;5,20;4,90;5,50;2,79;2,58;3,00;;;;39,5;32,0;47,6;;;
52;Vague 5 : 28-30 avr;13,3;8,3;20,7;16,4;10,7;24,4;58,3;49,2;66,8;41,8;33,3;50,8;55,7;46,7;64,3;5,37;5,08;5,66;3,03;2,84;3,21;;;;26,2;19,0;34,9;;;
53;Vague 5 : 28-30 avr;13,5;8,3;21,3;18,3;12,1;16,8;64,5;55,0;73,0;42,8;33,8;52,2;59,3;49,8;68,1;5,31;4,99;5,63;2,93;2,71;3,15;;;;23,0;16,1;31,7;;;
75;Vague 5 : 28-30 avr;15,3;10,7;21,3;14,2;9,9;20,0;59,5;52,4;66,2;42,1;35,3;49,2;59,7;52,6;66,4;5,28;5,01;5,54;2,89;2,72;3,06;;;;30,6;24,6;37,5;;;
76;Vague 5 : 28-30 avr;18,0;12,7;24,9;22,8;16,7;30,3;66,1;58,2;73,2;47,2;39,3;55,2;61,7;53,6;69,1;5,37;5,08;5,66;2,99;2,80;3,19;;;;29,3;22,6;37,1;;;
84;Vague 5 : 28-30 avr;17,7;13,4;23,0;18,1;13,8;23,4;68,0;62,1;73,5;43,6;37,6;49,8;65,2;59,1;70,9;5,47;5,25;5,69;2,98;2,84;3,12;;;;37,1;31,3;43,2;;;
